horror,Tara Subkoff
air-america,Christopher Robbins
air-america,John Eskow
air-america,Richard Rush
air-force-one,Andrew W Marlowe
airheads,Rich Wilkes
ajami,Scandar Copti
ajami,Yaron Shani
akeelah-and-the-bee,Doug Atchison
alan-partridge-alpha-papa,Armando Iannucci
alan-partridge-alpha-papa,Neil Gibbons
alan-partridge-alpha-papa,Patrick Marber
alan-partridge-alpha-papa,Peter Baynham
alan-partridge-alpha-papa,Rob Gibbons
alan-partridge-alpha-papa,Steve Coogan
albert-nobbs,Glenn Close
albert-nobbs,John Banville
albino-alligator,Christian Forte
alex-emma,Jeremy Leven
alex-cross,James Patterson
alex-cross,Kerry Williamson
alex-cross,Marc Moss
alex-of-venice,Jessica Goldberg
alex-of-venice,Justin Shilton
alex-of-venice,Katie Nehra
alex-rider-operation-stormbreaker,Anthony Horowitz
alexander,Christopher Kyle
alexander,Laeta Kalogridis
alexander,Oliver Stone
alexander-and-the-terrible-horrible-no-good-very-bad-day,Judith Viorst
alexander-and-the-terrible-horrible-no-good-very-bad-day,Lisa Cholodenko
alexander-and-the-terrible-horrible-no-good-very-bad-day,Rob Lieber
alexandra,Aleksandr Sokurov
alexandras-project,Rolf de Heer
alfie,Bill Naughton
alfie,Charles Shyer
alfie,Elaine Pope
ali,Christopher Wilkinson
ali,Eric Roth
ali,Gregory Allen Howard
ali,Michael Mann
ali,Stephen J. Rivele
alias-betty,Claude Miller
alias-betty,Ruth Rendell
alice-et-martin,André Téchiné
alice-et-martin,Gilles Taurand
alice-et-martin,Olivier Assayas
alice-in-wonderland,Lewis Carroll
alice-in-wonderland,Linda Woolverton
alice-through-the-looking-glass,Lewis Carroll
alice-through-the-looking-glass,Linda Woolverton
alien-3,Dan O'Bannon
alien-3,David Giler
alien-3,Larry Ferguson
alien-3,Ronald Shusett
alien-3,Vincent Ward
alien-3,Walter Hill
alien-abduction,Robert Lewis
alien-nation,Rockne S. O'Bannon
alien-outpost,Blake Clifton
alien-outpost,Jabbar Raisani
alien-trespass,James Swift
alien-trespass,Steven P. Fisher
alien-resurrection,Dan O'Bannon
alien-resurrection,Joss Whedon
alien-resurrection,Ronald Shusett
aliens-in-the-attic,Adam F. Goldberg
aliens-in-the-attic,Mark Burton
alila,Amos Gitai
alila,Marie-Jose Sanselme
alila,Yehoshua Kenaz
all-about-lily-chou-chou,Shunji Iwai
all-about-my-mother,Pedro Almodóvar
all-about-steve,Kim Barker
all-about-the-benjamins,Ice Cube
all-about-the-benjamins,Ronald Lang
all-cheerleaders-die,Chris Sivertson
all-cheerleaders-die,Lucky McKee
all-dogs-go-to-heaven,David N. Weiss
all-dogs-go-to-heaven,David Steinberg
all-dogs-go-to-heaven,Don Bluth
all-dogs-go-to-heaven,Gary Goldman
all-dogs-go-to-heaven,Guy Shulman
all-dogs-go-to-heaven,John Pomeroy
all-dogs-go-to-heaven,Ken Cromar
all-dogs-go-to-heaven,Larry Leker
all-dogs-go-to-heaven,Linda Miller
all-dogs-go-to-heaven,Monica Parker
all-i-wanna-do,Sarah Kernochan
all-is-bright,Melissa James Gibson
all-is-lost,J.C. Chandor
all-mistakes-buried,Sam Trammell
all-mistakes-buried,Shaun S. Sanghani
all-mistakes-buried,Tim McCann
all-my-loved-ones,Jirí Hubac
